藏品编号,藏品名称,作者,时间,朝代,类别,尺寸,媒介,摘要,信用信息,图片链接,详情链接
66500,Round-Back Armchair,Artist/maker unknown,1500-1600,Ming Dynasty (1368-1644),Furniture/Furnishings,36 x 26 x 29 inches (91.4 x 66 x 73.7 cm),Wood (huanghuali); woven fiber seats,"During the Ming dynasty, rounded or horseshoe-backed chairs were reserved for honored guests. The gracefully curving crest rail of each of these examples consists of only three pieces of wood connected by highly developed joinery. The vertical rails, made of a single continuous piece of wood, complete the elegant form.

","Purchased with the J. Stogdell Stokes Fund, the John T. Morris Fund, the Thomas Skelton Harrison Fund, the George W. B. Taylor Fund, and with funds contributed by Mr. and Mrs. Howard Lewis and Henry B. Keep, 1971","https://iiif.micr.io/ZSkCM/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/66500
71194,Double Fish Pendant,Artist/maker unknown,19th century,Qing Dynasty (1644-1911),Jewelry,4 7/8 x 1 1/2 x 1/4 inches (12.4 x 3.8 x 0.6 cm),Jade (nephrite),,"Gift of Eugenia Fuller Atwood, 1977","https://iiif.micr.io/nprfT/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/71194
72527,Vase with Lid,Artist/maker unknown,19th century,Qing Dynasty (1644-1911),Containers,Height: 3 3/4 inches (9.5 cm),Nephrite jade,,"Gift of Mr. and Mrs. Douglas J. Cooper, 1979","https://iiif.micr.io/LyQJZ/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/72527
83986,Lidded Wine Pot,Artist/maker unknown,18th century,Qing Dynasty (1644-1911),Containers,6 1/2 x 7 1/2 inches (at spout) (16.5 x 19.1 cm),Copper with painted enamel decoration,,"Bequest of Constance A. Jones, 1988","https://iiif.micr.io/EcRWC/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/83986
103260,Figure of Warrior,Artist/maker unknown,618-907,Tang Dynasty (618-907),Sculpture,14 3/16 x 4 13/16 inches (36 x 12.2 cm),Ceramic,,"The Sallie Crozer Hilprecht Collection, 1929","https://iiif.micr.io/VtXRu/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/103260
103268,Figure of Horsewoman,Artist/maker unknown,618-907,Tang Dynasty (618-907),Sculpture,12 3/8 x 3 15/16 x 9 7/16 inches (31.5 x 10 x 24 cm),"Ceramic, slipped, glazed and painted earthenware",,"The Sallie Crozer Hilprecht Collection, 1929","https://iiif.micr.io/BemTI/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/103268
103271,Figure of Horse,Artist/maker unknown,618-907,Tang Dynasty (618-907),Sculpture,12 5/8 x 3 15/16 x 11 13/16 inches (32 x 10 x 30 cm),"Ceramic, slipped, glazed and painted earthenware",,"The Sallie Crozer Hilprecht Collection, 1929","https://iiif.micr.io/bGsJC/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/103271
103274,Figure of Ox,Artist/maker unknown,618-907,Tang Dynasty (618-907),Sculpture,6 3/4 x 3 1/8 x 8 11/16 inches (17.2 x 8 x 22 cm),Ceramic,,"The Sallie Crozer Hilprecht Collection, 1929","https://iiif.micr.io/unGuA/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/103274
114150,Opium Pipe Cleaner,Artist/maker unknown,19th century,Qing Dynasty (1644-1911),Tools/Equipment,5 15/16 × 1/2 inches (15.1 × 1.3 cm),"Steel, brass, bone",,"Purchased with Museum funds, 1876","https://iiif.micr.io/GwQCD/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/114150
120620,Inscription,Artist/maker unknown,1644-1911,Qing Dynasty (1644-1911),Prints,"12 1/4 x 33 1/2 inches (31.1 x 85.1 cm)
Mount: 14 7/8 x 37 7/16 inches (37.8 x 95.1 cm)",Ink on paper rubbing; mounted on cloth,"The stone carvings collectively known as the Wu Family shrines are a series of organized pictorial elements and inscriptions forming a tomb discovered in China's Shandong province in 1786.  The stone reliefs however have been studied since the Song Dynasty (960 - 1279) through ink rubbings of their surface decoration and inscriptions.  These rubbings were created by placing paper over the surface of the stone and rubbing the paper with ink, transferring the stone texture to paper.  They are a commonly referenced historical source for the Han Dynasty (206 BCE - 220 CE), but they often only selectively represent the stone surface and were in some cases likely altered to depict the ""original"" stone, eroding their reliability.  Scholars now interpret the rubbings both as representations of the stone carving and pictorial traditions of the Han dynasty in which the stones were created, and also as a revealing look at attitudes towards the study of antiquity in the Song dynasty (and later years) in which the rubbings entered the study of history.  ","Gift of Horace H. F. Jayne, 1924","https://iiif.micr.io/dXQQe/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/120620
