Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
16495,wine cooler (one of a pair),ca. 1735–36,hard-paste porcelain; silver,https://images.metmuseum.org/CRDImages/es/original/SF2002_238_2.jpg,https://images.metmuseum.org/CRDImages/es/original/SF2002_238_2.jpg,https://www.metmuseum.org/art/collection/search/211391,elias adam
16496,the worship of cupid,ca. 1775–90,"wool, silk (22 warps per inch, 9-10 per cm.)",https://images.metmuseum.org/CRDImages/es/original/DP276255.jpg,https://images.metmuseum.org/CRDImages/es/original/DP276255.jpg,https://www.metmuseum.org/art/collection/search/213250,jean-baptiste huet i
16497,piece,second half 16th century,silk,https://images.metmuseum.org/CRDImages/es/original/4428a.jpg,https://images.metmuseum.org/CRDImages/es/original/4428a.jpg,https://www.metmuseum.org/art/collection/search/214347,unknown
16498,fragment,19th century,bobbin lace,https://images.metmuseum.org/CRDImages/es/original/5529A.jpg,https://images.metmuseum.org/CRDImages/es/original/5529A.jpg,https://www.metmuseum.org/art/collection/search/215304,unknown
16499,green silk damask,second half 17th century,silk damask weave,https://images.metmuseum.org/CRDImages/es/original/DP-12900-001.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12900-001.jpg,https://www.metmuseum.org/art/collection/search/216471,unknown
16500,piece,second half 16th century,silk,https://images.metmuseum.org/CRDImages/es/original/AR596.jpg,https://images.metmuseum.org/CRDImages/es/original/AR596.jpg,https://www.metmuseum.org/art/collection/search/216652,unknown
16501,textile with crowned double headed eagles,second half 16th century,"lampas, silk",https://images.metmuseum.org/CRDImages/es/original/DP257396.jpg,https://images.metmuseum.org/CRDImages/es/original/DP257396.jpg,https://www.metmuseum.org/art/collection/search/219396,unknown
16502,shawl,19th century,silk,no_image,unknown,https://www.metmuseum.org/art/collection/search/219838,unknown
16503,shawl,19th century,silk,no_image,unknown,https://www.metmuseum.org/art/collection/search/219839,unknown
16504,shawl,19th century,silk,no_image,unknown,https://www.metmuseum.org/art/collection/search/219840,unknown
16505,bedspread,1788–90,silk,https://images.metmuseum.org/CRDImages/es/original/34898.jpg,https://images.metmuseum.org/CRDImages/es/original/34898.jpg,https://www.metmuseum.org/art/collection/search/219859,unknown
16506,fragment of wall covering,ca. 1788–90,silk,https://images.metmuseum.org/CRDImages/es/original/TP75.jpg,https://images.metmuseum.org/CRDImages/es/original/TP75.jpg,https://www.metmuseum.org/art/collection/search/220051,unknown
16507,piece,1788–90,silk,https://images.metmuseum.org/CRDImages/es/original/TP79.jpg,https://images.metmuseum.org/CRDImages/es/original/TP79.jpg,https://www.metmuseum.org/art/collection/search/220161,unknown
16508,piece,18th century,silk,https://images.metmuseum.org/CRDImages/es/original/45829.jpg,https://images.metmuseum.org/CRDImages/es/original/45829.jpg,https://www.metmuseum.org/art/collection/search/220192,unknown
16509,piece,1788–90,cotton,https://images.metmuseum.org/CRDImages/es/original/AR850.jpg,https://images.metmuseum.org/CRDImages/es/original/AR850.jpg,https://www.metmuseum.org/art/collection/search/220236,unknown
16510,piece,1788–90,cotton,https://images.metmuseum.org/CRDImages/es/original/46078.jpg,https://images.metmuseum.org/CRDImages/es/original/46078.jpg,https://www.metmuseum.org/art/collection/search/220316,unknown
16511,piece,1788–90,cotton,https://images.metmuseum.org/CRDImages/es/original/46061.jpg,https://images.metmuseum.org/CRDImages/es/original/46061.jpg,https://www.metmuseum.org/art/collection/search/220425,unknown
