Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Headless figure in white jacket with floral medallions,https://searchcollection.asianart.org/internal/media/dispatcher/20529/preview,https://searchcollection.asianart.org/objects/5354/headless-figure-in-white-jacket-with-floral-medallions?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3100,B62D48.139,,1800-1962,,"H. 12 in, H. 30.5 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced bearded male figure in red robe and hat,https://searchcollection.asianart.org/internal/media/dispatcher/20530/preview,https://searchcollection.asianart.org/objects/5355/redfaced-bearded-male-figure-in-red-robe-and-hat?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3101,B62D48.140,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Dog-faced figure in black robe and hat,https://searchcollection.asianart.org/internal/media/dispatcher/20531/preview,https://searchcollection.asianart.org/objects/5356/dogfaced-figure-in-black-robe-and-hat?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3102,B62D48.141,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Tiger-faced figure in red robe with bamboo design and pheasant-feathered headdress,https://searchcollection.asianart.org/internal/media/dispatcher/76481/preview,https://searchcollection.asianart.org/objects/5357/tigerfaced-figure-in-red-robe-with-bamboo-design-and-pheasa?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3103,B62D48.142,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Black-faced male figure in white robe with bamboo design,https://searchcollection.asianart.org/internal/media/dispatcher/20533/preview,https://searchcollection.asianart.org/objects/5358/blackfaced-male-figure-in-white-robe-with-bamboo-design?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3104,B62D48.143,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Gray-faced male figure in blue robe with bamboo design,https://searchcollection.asianart.org/internal/media/dispatcher/20534/preview,https://searchcollection.asianart.org/objects/5359/grayfaced-male-figure-in-blue-robe-with-bamboo-design?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3105,B62D48.144,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Female figure wearing hat with upturned brim,https://searchcollection.asianart.org/internal/media/dispatcher/20535/preview,https://searchcollection.asianart.org/objects/5360/female-figure-wearing-hat-with-upturned-brim?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3106,B62D48.145,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Bearded male figure in blue robe and jade belt wearing black hat,https://searchcollection.asianart.org/internal/media/dispatcher/20536/preview,https://searchcollection.asianart.org/objects/5361/bearded-male-figure-in-blue-robe-and-jade-belt-wearing-black?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=3107,B62D48.146,,1800-1962,,"H. 10 1/2 in, H. 26.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Male figure in red robe with floral design and black official's hat,https://searchcollection.asianart.org/internal/media/dispatcher/20537/preview,https://searchcollection.asianart.org/objects/5362/male-figure-in-red-robe-with-floral-design-and-black-officia?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3108,B62D48.147,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Male figure with a bound floral headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20539/preview,https://searchcollection.asianart.org/objects/5364/male-figure-with-a-bound-floral-headdress?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3109,B62D48.149,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Smiling female figure in blue robe with floral design,https://searchcollection.asianart.org/internal/media/dispatcher/20540/preview,https://searchcollection.asianart.org/objects/5365/smiling-female-figure-in-blue-robe-with-floral-design?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3110,B62D48.150,,1800-1962,,"H. 10 in, H. 25.4 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Black-faced male figure in red robe and purple headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20541/preview,https://searchcollection.asianart.org/objects/5366/blackfaced-male-figure-in-red-robe-and-purple-headdress?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3111,B62D48.151,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
White-haired female figure dressed in black and white with lotus headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20542/preview,https://searchcollection.asianart.org/objects/5367/whitehaired-female-figure-dressed-in-black-and-white-with-l?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3112,B62D48.152,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Table with vase and two books,https://searchcollection.asianart.org/internal/media/dispatcher/20543/preview,https://searchcollection.asianart.org/objects/5368/table-with-vase-and-two-books?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3113,B62D48.153,,1800-1962,,"H. 9 in, H. 22.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Three-rod garment stand,https://searchcollection.asianart.org/internal/media/dispatcher/20544/preview,https://searchcollection.asianart.org/objects/5369/threerod-garment-stand?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3114,B62D48.154,,1800-1962,,"H. 8 in, H. 20.3 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Official's table with floral motif,https://searchcollection.asianart.org/internal/media/dispatcher/20545/preview,https://searchcollection.asianart.org/objects/5370/officials-table-with-floral-motif?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3115,B62D48.155,,1800-1962,,"H. 10 in, H. 25.4 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Female figure dressed in black and white with floral headband,https://searchcollection.asianart.org/internal/media/dispatcher/20546/preview,https://searchcollection.asianart.org/objects/5371/female-figure-dressed-in-black-and-white-with-floral-headban?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3116,B62D48.156,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced head with black beard wearing headdress with red point and red and white balls,https://searchcollection.asianart.org/internal/media/dispatcher/20548/preview,https://searchcollection.asianart.org/objects/5373/redfaced-head-with-black-beard-wearing-headdress-with-red-p?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3117,B62D48.158,,1800-1962,,"H. 5 1/2 in, H. 14 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced head wearing headdress with red point,https://searchcollection.asianart.org/internal/media/dispatcher/20549/preview,https://searchcollection.asianart.org/objects/5374/redfaced-head-wearing-headdress-with-red-point?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3118,B62D48.159,,1800-1962,,"H. 4 1/2 in, H. 11.4 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Male figure dressed in court attire and wearing black hat with tails,https://searchcollection.asianart.org/internal/media/dispatcher/20550/preview,https://searchcollection.asianart.org/objects/5375/male-figure-dressed-in-court-attire-and-wearing-black-hat-wi?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=3119,B62D48.160,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced head with black beard wearing headdress with red point,https://searchcollection.asianart.org/internal/media/dispatcher/20551/preview,https://searchcollection.asianart.org/objects/5376/redfaced-head-with-black-beard-wearing-headdress-with-red-p?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3120,B62D48.161,,1800-1962,,"H. 5 in, H. 12.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Head wearing black hat with red tie,https://searchcollection.asianart.org/internal/media/dispatcher/20552/preview,https://searchcollection.asianart.org/objects/5377/head-wearing-black-hat-with-red-tie?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3121,B62D48.162,,1800-1962,,"H. 3 in, H. 7.6 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Green faced demon head with red pointed ears,https://searchcollection.asianart.org/internal/media/dispatcher/20553/preview,https://searchcollection.asianart.org/objects/5378/green-faced-demon-head-with-red-pointed-ears?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3122,B62D48.163,,1800-1962,,"H. 3 in, H. 7.6 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Gray-faced head with black beard wearing headdress with pheasant feathers and floral ornament,https://searchcollection.asianart.org/internal/media/dispatcher/20554/preview,https://searchcollection.asianart.org/objects/5379/grayfaced-head-with-black-beard-wearing-headdress-with-phea?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3123,B62D48.164,,1800-1962,,"H. 5 1/2 in, H. 14 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Mustaches head wearing headdress with pheasant feathers and gray and red balls,https://searchcollection.asianart.org/internal/media/dispatcher/20555/preview,https://searchcollection.asianart.org/objects/5380/mustaches-head-wearing-headdress-with-pheasant-feathers-and?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3124,B62D48.165,,1800-1962,,"H. 5 1/2 in, H. 14 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Head wearing headdress with pheasant feathers and two red balls,https://searchcollection.asianart.org/internal/media/dispatcher/20556/preview,https://searchcollection.asianart.org/objects/5381/head-wearing-headdress-with-pheasant-feathers-and-two-red-ba?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3125,B62D48.166,,1800-1962,,"H. 5 1/2 in, H. 14 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Head with black braid and pheasant-feathered headress,https://searchcollection.asianart.org/internal/media/dispatcher/20557/preview,https://searchcollection.asianart.org/objects/5382/head-with-black-braid-and-pheasantfeathered-headress?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3126,B62D48.167,,1800-1962,,"H. 6 1/2 in, H. 16.5 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced man with black beard wearing lotus headdress and banners,https://searchcollection.asianart.org/internal/media/dispatcher/20558/preview,https://searchcollection.asianart.org/objects/5383/redfaced-man-with-black-beard-wearing-lotus-headdress-and-b?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3127,B62D48.168,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Gray-faced head with black braid and pheasant-feathered headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20559/preview,https://searchcollection.asianart.org/objects/5384/grayfaced-head-with-black-braid-and-pheasantfeathered-head?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3128,B62D48.169,,1800-1962,,"H. 6 1/2 in, H. 16.5 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Blue-faced head with red bearch and pheasant-feathered headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20560/preview,https://searchcollection.asianart.org/objects/5385/bluefaced-head-with-red-bearch-and-pheasantfeathered-headd?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3129,B62D48.170,,1800-1962,,"H. 5 1/2 in, H. 14 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Gray-faced head with black bearc and pheasant-feathered headdress,https://searchcollection.asianart.org/internal/media/dispatcher/20561/preview,https://searchcollection.asianart.org/objects/5386/grayfaced-head-with-black-bearc-and-pheasantfeathered-head?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3130,B62D48.171,,1800-1962,,"H. 7 in, H. 17.8 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Red-faced head with black beard and headress with red ball,https://searchcollection.asianart.org/internal/media/dispatcher/20562/preview,https://searchcollection.asianart.org/objects/5387/redfaced-head-with-black-beard-and-headress-with-red-ball?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=3131,B62D48.172,,1800-1962,,"H. 5 in, H. 12.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Official with white beard in red outfit,https://searchcollection.asianart.org/internal/media/dispatcher/20563/preview,https://searchcollection.asianart.org/objects/5388/official-with-white-beard-in-red-outfit?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3132,B62D48.173,,1800-1962,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Black-faced head with red pointed ears and red hat,https://searchcollection.asianart.org/internal/media/dispatcher/20564/preview,https://searchcollection.asianart.org/objects/5389/blackfaced-head-with-red-pointed-ears-and-red-hat?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3133,B62D48.174,,1800-1962,,"H. 3 in, H. 7.62 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Man's head with beard and red hat,https://searchcollection.asianart.org/internal/media/dispatcher/20565/preview,https://searchcollection.asianart.org/objects/5390/mans-head-with-beard-and-red-hat?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3134,B62D48.175,,1800-1962,,"H. 5 in, H. 12.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Blue fish with whiskers,https://searchcollection.asianart.org/internal/media/dispatcher/20566/preview,https://searchcollection.asianart.org/objects/5391/blue-fish-with-whiskers?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3135,B62D48.176,,1800-1962,,"H. 2 1/2 in, H. 6.35 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Mollusk shell,https://searchcollection.asianart.org/internal/media/dispatcher/20567/preview,https://searchcollection.asianart.org/objects/5392/mollusk-shell?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3136,B62D48.177,,1800-1962,,"H. 2 1/2 in, H. 6.35 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Pote of flowers on red stand,https://searchcollection.asianart.org/internal/media/dispatcher/20568/preview,https://searchcollection.asianart.org/objects/5393/pote-of-flowers-on-red-stand?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3137,B62D48.178,,1800-1962,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Tiger chair,https://searchcollection.asianart.org/internal/media/dispatcher/20569/preview,https://searchcollection.asianart.org/objects/5394/tiger-chair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3138,B62D48.179,,1800-1962,,"H. 7 1/2 in, H. 19.05 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Rat,https://searchcollection.asianart.org/internal/media/dispatcher/20570/preview,https://searchcollection.asianart.org/objects/5395/rat?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3139,B62D48.180,,1800-1962,,"H. 2 1/2 in, H. 6.35 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Ewer with lid,https://searchcollection.asianart.org/internal/media/dispatcher/11830/preview,https://searchcollection.asianart.org/objects/5396/ewer-with-lid?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3140,B60B347,,approx. 1100-1400,,H. 9 in x Diam. 11 in,The Avery Brundage Collection,,China,Song dynasty (960-1279) or Ming dynasty (1368-1644),Copper,Chinese Art,Metal Arts,Not on view,,,,,
"Chariot fitting, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/11838/preview,https://searchcollection.asianart.org/objects/5397/chariot-fitting-one-of-a-pair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3141,B60B353,,1050-900 BCE,,,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Secluded in a Mountain Village,https://searchcollection.asianart.org/internal/media/dispatcher/72574/preview,https://searchcollection.asianart.org/objects/5398/secluded-in-a-mountain-village?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3142,B60D87,,,,Image: H. 83 1/2 in × W. 29 5/8 in (212.1 cm × 75.2 cm) Overall: H. 123 1/2 in × W. 35 13/16 in (313.7 cm × 91 cm),The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Ink and colors on silk,Chinese Art,Painting,Not on view,,Ming dynasty (1368–1644),,"Inscription written on the outer tag that has been attached to the border of the mount sates that a well known collector Wu Rongguang  got this piece in 1832, and attributed this painting to Song master Zhang Zeduan (active. 3arly 12th ce.),",
"Kundika, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/44484/preview,https://searchcollection.asianart.org/objects/5400/kundika-one-of-a-pair?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=3143,B60B333,,,,H. 6 in x Diam. 7 in,The Avery Brundage Collection,,China,Tang dynasty (618-907),Gilded bronze,Chinese Art,Metal Arts,Not on view,,,,,
Attendant of the bodhisattva Avalokiteshvara (Guanyin),https://searchcollection.asianart.org/internal/media/dispatcher/11925/preview,https://searchcollection.asianart.org/objects/5401/attendant-of-the-bodhisattva-avalokiteshvara-guanyin?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3144,B60B508,,prob. 1200-1400,,H. 7 in x W. 2 1/2 in,The Avery Brundage Collection,,China,Song dynasty (960-1279) or Ming dynasty (1368-1644),Gilded bronze,Chinese Art,Sculpture,Not on view,,,,,
Buddhist guardian king with two supporting youths,https://searchcollection.asianart.org/internal/media/dispatcher/11928/preview,https://searchcollection.asianart.org/objects/5402/buddhist-guardian-king-with-two-supporting-youths?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3145,B60B512,,618-907,,"H. 5 in x W. 3 1/4 in x D. 1 1/4 in, H. 12.7 cm x W. 8.25 cm x D. 1 1/4 cm",The Avery Brundage Collection,,China,Tang dynasty (618-907),Bronze with gilding,Chinese Art,Sculpture,On view,,,,,
Ritual wine vessel with cover (zhi),https://searchcollection.asianart.org/internal/media/dispatcher/11943/preview,https://searchcollection.asianart.org/objects/5404/ritual-wine-vessel-with-cover-zhi?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3146,B60B526.a-.b,,approx. 1050-950 BCE,,"H. 7 in x W. 3 in x D. 2 1/2 in, H. 17.8 cm x W. 7.6 x D. 6.4 cm",The Avery Brundage Collection,,China,Western Zhou period (approx. 1050-771 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Finials with dragon decoration, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/11950/preview,https://searchcollection.asianart.org/objects/5405/finials-with-dragon-decoration-one-of-a-pair?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3147,B60B532,,300-200 BCE,,H. 2 in x Diam. 2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Finial with dragon decoration, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/11951/preview,https://searchcollection.asianart.org/objects/5406/finial-with-dragon-decoration-one-of-a-pair?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3148,B60B533,,300-200 BCE,,,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11959/preview,https://searchcollection.asianart.org/objects/5407/mirror?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3149,B60B541,,,,Diam. 5 5/8 in,The Avery Brundage Collection,,China,Xin dynasty (9-23) or Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,"Inscription has  the 12 characters of the Twelve Earthly Braches, a part of Taoist cosmology in which each of the 12 characters represents a certain time of the day spanning about two hours; they read zi, chou, yin, mao, chen, si, wu wei, shen, you, wu , and hai",
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/11967/preview,https://searchcollection.asianart.org/objects/5408/mirror?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3150,B60B548,,probably 100-300,,"Diam. 5 1/4 in, Diam. 13.3 cm",The Avery Brundage Collection,,China,Eastern Han period (25-220) or Three Kingdoms period (221-265),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror with cosmological designs and inscriptions,https://searchcollection.asianart.org/internal/media/dispatcher/12000/preview,https://searchcollection.asianart.org/objects/5410/mirror-with-cosmological-designs-and-inscriptions?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3151,B60B579,,,,Diam. 7 1/2 in,The Avery Brundage Collection,,China,Xin dynasty (9-23) or Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,"Inscription. The four characters around the center read changyi zison mean ""Lasting blessings to generation after generation."" The eight characters within the arch design mean ""Longevity as lasting as gold and stone"" shouru jinsh; blessings of perfection and goodness jia qie hao xi.",
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12007/preview,https://searchcollection.asianart.org/objects/5411/mirror?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3152,B60B584,,,,Diam. 7 3/8 in,The Avery Brundage Collection,,China,Eastern Han period (25-220),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12027/preview,https://searchcollection.asianart.org/objects/5412/mirror?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3153,B60B599,,approx. 700-800,,H. 1/4 in x Diam. 5 in,The Avery Brundage Collection,,China,Tang dynasty (618-907),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Mirror,https://searchcollection.asianart.org/internal/media/dispatcher/12031/preview,https://searchcollection.asianart.org/objects/5413/mirror?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3154,B60B602,,approx. 200-300,,"Diam. 7 3/8 in, H. 18.7 cm",The Avery Brundage Collection,,"Shouxian, Anhui Province, China; Shouxian, Anhui Province",Eastern Han period (25-220) or Three Kingdoms period (221-265),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Standing bodhisattva,https://searchcollection.asianart.org/internal/media/dispatcher/12076/preview,https://searchcollection.asianart.org/objects/5416/standing-bodhisattva?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=3155,B60B638,,prob. 400-450,,H. 5 3/4 in x W. 2 3/8 in x D. 2 1/4 in,The Avery Brundage Collection,,China,Three Kingdoms period (221-265) or Northern and Southern Dynasties period (386-589),Gilded bronze,Chinese Art,Sculpture,Not on view,,,,,
Stand,https://searchcollection.asianart.org/internal/media/dispatcher/12081/preview,https://searchcollection.asianart.org/objects/5417/stand?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3156,B60B640,,522,,H. 2 5/8 in x W. 2 3/4 in,The Avery Brundage Collection,,China,Northern Wei dynasty (386-534),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Ritual vessel with lid (lei),https://searchcollection.asianart.org/internal/media/dispatcher/12116/preview,https://searchcollection.asianart.org/objects/5419/ritual-vessel-with-lid-lei?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3157,B60B662,,approx. 1200-1050 BCE,,H. 5 3/4 in x W. 4 3/4 in,The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Bovine,https://searchcollection.asianart.org/internal/media/dispatcher/12178/preview,https://searchcollection.asianart.org/objects/5421/bovine?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3158,B60B711,,,,H. 4 1/2 in x W. 5 1/2 in,The Avery Brundage Collection,,China,,Bronze,Chinese Art,Sculpture,Not on view,,probably Warring States period (approx. 475-221 BCE),,,
"Applique, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12184/preview,https://searchcollection.asianart.org/objects/5422/applique-one-of-a-pair?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3159,B60B714,,approx. 1000-800 BCE,,H. 3 1/4 in x W. 4 in,The Avery Brundage Collection,,China,Western Zhou period (approx. 1050-771 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Axle caps and linch pins, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12188/preview,https://searchcollection.asianart.org/objects/5423/axle-caps-and-linch-pins-one-of-a-pair?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3160,B60B716.a-.b,,,,H. 6 3/4 in x W. 4 in,The Avery Brundage Collection,,China,Western Zhou period (approx. 1050-771 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
"Axle caps and linch pins, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/12190/preview,https://searchcollection.asianart.org/objects/5424/axle-caps-and-linch-pins-one-of-a-pair?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3161,B60B717.a-.b,,,,H. 6 3/4 in x W. 4 in,The Avery Brundage Collection,,China,Western Zhou period (approx. 1050-771 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
Ritual vessel (yu) with lid,https://searchcollection.asianart.org/internal/media/dispatcher/12194/preview,https://searchcollection.asianart.org/objects/5425/ritual-vessel-yu-with-lid?ctx=f3a436f24c9a4a46f7682c289b7cddbf9a51f59d&idx=3162,B60B719.a-.b,,approx. 900-800 BCE,,H. 8 in x W. 6 in,The Avery Brundage Collection,,China,Western Zhou period (approx. 1050-771 BCE),Bronze,Chinese Art,Metal Arts,Not on view,,,,,
